MSAID,AbsoluteUpwardMobility
10180,44.7
10420,38.8
10500,34.4
10540,39.5
10580,43.1
10740,39.4
10780,39.5
10900,45.1
11020,43.9
11100,43.2
11180,51.1
11260,45.0
11460,38.9
11500,38.3
11540,49.0
11700,39.0
12020,35.0
12060,36.1
12100,38.9
12220,36.7
12260,36.4
12420,40.0
12540,45.3
12580,38.9
12620,42.3
12700,45.0
12940,39.3
12980,36.9
13020,41.2
13140,42.9
13220,44.0
13380,44.1
13460,42.2
13740,47.2
13780,42.6
13820,37.6
13900,51.1
13980,39.1
14010,43.2
14020,38.4
14100,46.1
14260,42.5
14460,44.7
14500,46.8
14540,40.0
14740,42.7
14860,42.9
15180,43.5
15260,36.2
15380,42.4
15500,36.5
15540,43.2
15680,44.3
15940,40.0
15980,39.1
16020,40.6
16060,40.8
16180,41.9
16220,49.5
16300,46.9
16540,46.2
16580,41.8
16620,41.1
16700,37.8
16740,35.6
16820,39.0
16860,37.9
16940,45.2
16980,39.5
17020,41.3
17140,37.9
17300,38.5
17420,39.3
17460,37.9
17660,44.8
17780,41.7
17820,41.4
17860,39.9
17900,36.2
17980,35.4
18020,39.0
18140,37.6
18580,43.0
18700,42.1
18880,40.6
19060,43.4
19100,40.9
19140,37.4
19180,40.8
19300,39.6
19340,43.5
19380,37.2
19460,39.2
19500,39.5
19660,39.7
19740,41.7
19780,44.4
19820,37.3
20020,38.1
20100,39.7
20220,52.7
20260,44.8
20500,35.2
20700,44.4
20740,47.3
20940,44.0
21060,41.8
21140,41.0
21300,41.0
21340,44.3
21500,42.2
21660,39.7
21780,40.5
21820,45.0
22020,49.3
22140,40.3
22180,35.6
22220,43.2
22380,39.5
22420,35.4
22500,35.9
22520,40.8
22540,48.3
22660,45.4
22900,42.1
23060,39.6
23420,40.8
23460,39.3
23540,38.4
23580,39.1
23900,48.6
24020,43.3
24140,37.6
24220,50.3
24260,50.3
24300,46.6
24340,40.4
24420,40.7
24500,45.8
24540,44.3
24580,46.7
24660,36.3
24780,35.2
24860,37.1
25060,38.4
25180,41.6
25220,39.2
25260,42.2
25420,42.7
25500,43.8
25540,42.3
25620,39.7
25860,35.8
25940,36.1
25980,37.5
26140,40.8
26300,40.2
26380,45.0
26420,42.9
26580,40.4
26620,37.5
26820,46.7
26900,37.2
26980,46.5
27060,43.3
27100,39.0
27140,36.1
27180,37.0
27260,37.5
27340,39.0
27500,41.2
27620,44.6
27740,37.4
27780,48.7
27860,40.1
27900,42.6
27980,42.2
28020,38.0
28100,40.9
28140,40.2
28420,44.7
28660,40.5
28700,38.7
28740,42.6
28940,37.9
29020,37.3
29100,47.1
29180,43.0
29200,44.1
29340,41.5
29420,40.4
29460,39.3
29540,44.7
29620,39.5
29700,44.7
29740,41.3
29820,39.9
29940,40.6
30020,42.2
30140,46.7
30300,42.4
30340,42.9
30460,36.1
30620,39.3
30700,43.5
30780,37.8
30860,51.2
30980,43.9
31020,40.4
31080,43.8
31140,37.8
31180,40.5
31340,39.2
31420,34.4
31460,41.7
31540,44.5
31700,44.2
31740,46.5
31860,49.6
31900,39.4
32580,44.1
32780,41.0
32820,33.7
32900,42.0
33100,39.9
33140,39.8
33220,41.3
33260,49.5
33340,38.5
33460,44.6
33540,44.0
33660,37.4
33700,42.2
33740,37.4
33780,42.7
33860,35.7
34060,45.1
34100,38.4
34580,44.2
34620,36.7
34740,36.9
34820,36.5
34900,47.3
34940,40.4
34980,38.2
35100,37.2
35300,41.9
35380,38.2
35620,43.9
35660,38.5
35840,38.9
35980,42.8
36100,38.3
36140,42.7
36220,50.8
36260,46.5
36420,42.3
36500,42.2
36540,42.7
36740,39.2
36780,44.5
36980,43.0
37100,44.5
37340,39.5
37460,39.4
37620,39.5
37860,39.4
37900,41.2
37980,40.7
38060,40.4
38220,36.3
38300,44.8
38340,42.5
38540,43.1
38860,43.5
38900,41.3
38940,38.0
39140,43.2
39300,43.4
39340,49.2
39380,39.2
39460,41.9
39540,39.6
39580,38.0
39660,44.3
39740,44.3
39820,41.9
39900,41.1
40060,37.8
40140,41.9
40220,39.6
40340,50.2
40380,41.0
40420,38.4
40580,34.9
40660,36.1
40900,42.6
40980,37.5
41060,52.8
41100,45.8
41140,42.4
41180,39.0
41420,41.0
41500,43.6
41540,38.3
41620,45.8
41660,43.1
41700,41.1
41740,44.3
41860,44.5
41940,45.5
42020,45.1
42100,43.4
42140,40.5
42200,44.4
42220,43.6
42340,36.1
42540,45.9
42660,43.3
42680,38.9
42700,39.4
43100,46.3
43300,41.3
43340,37.8
43420,42.9
43580,48.0
43620,49.4
43780,38.8
43900,36.7
44060,42.2
44100,39.9
44140,41.2
44180,41.8
44220,36.5
44300,47.3
44420,41.2
44700,42.6
44940,36.4
45060,41.3
45220,36.8
45300,39.1
45460,41.8
45500,39.1
45540,37.6
45780,38.0
45820,42.6
45940,39.4
46060,39.0
46140,41.3
46220,37.3
46340,41.3
46520,44.8
46540,43.8
46660,36.0
46700,42.8
47020,43.6
47220,39.1
47260,38.0
47300,42.1
47380,39.1
47460,43.8
47580,37.3
47900,43.1
47940,46.4
48060,43.2
48140,49.9
48260,41.0
48300,45.0
48540,44.9
48620,41.6
48660,43.9
48700,45.4
48900,35.9
49020,41.3
49180,36.2
49340,43.7
49420,42.9
49620,44.2
49660,40.5
49700,43.6
49740,44.0
