Name,Latitude,Longitude
Acadia,44.35,-68.21
American Samoa,-14.25,-170.68
Arches,38.68,-109.57
Badlands,43.75,-102.5
Big Bend,29.25,-103.25
Biscayne,25.65,-80.08
Black Canyon of the Gunnison,38.57,-107.72
Bryce Canyon,37.57,-112.18
Canyonlands,38.21,-9.93
Capitol Reef,38.2,-111.17
Carlsbad Caverns *,32.17,-104.44
Channel Islands,34.01,-119.42
Congaree,33.78,-80.78
Crater Lake,42.94,-122.10
Cuyahoga Valley,41.24,-81.55
Death Valley,36.24,-116.82
Denali,63.33,-150.50
Dry Tortugas,24.63,-82.87
Everglades,25.32,-80.93
Gates of the Arctic,67.78,-153.30
Gateway Arch,38.63,-90.19
Glacier,48.8,-114.00
Glacier Bay,58.5,-137.00
Grand Canyon *,36.06,-112.14
Grand Teton,43.73,-110.80
Great Basin,38.98,-114.30
Great Sand Dunes,37.73,-105.51
Great Smoky Mountains,35.68,-83.53
Guadalupe Mountains,31.92,-104.87
Haleakalā,20.72,-156.17
Hawaiʻi Volcanoes,19.38,-155.20
Hot Springs,34.51,-93.05
Indiana Dunes,41.6533,-87.05
Isle Royale,48.1,-88.55
Joshua Tree,33.79,-115.90
Katmai,58.5,-155.00
Kenai Fjords,59.92,-149.65
Kings Canyon,36.8,-118.55
Kobuk Valley,67.55,-159.28
Lake Clark,60.97,-153.42
Lassen Volcanic,40.49,-121.51
Mammoth Cave,37.18,-86.10
Mesa Verde *,37.18,-108.49
Mount Rainier,46.85,-121.75
New River Gorge,38.07,-81.08
North Cascades,48.7,-121.20
Olympic,47.97,-123.50
Petrified Forest,35.07,-109.78
Pinnacles,36.48,-121.16
Redwood *,41.3,-124.00
Rocky Mountain,40.4,-105.58
Saguaro,32.25,-110.50
Sequoia,36.43,-118.68
Shenandoah,38.53,-78.35
Theodore Roosevelt,46.97,-103.45
Virgin Islands,18.33,-64.73
Voyageurs,48.5,-92.88
White Sands,32.78,-106.17
Wind Cave,43.57,-103.48
Wrangell–St. Elias *,61,-142.00
Yellowstone,44.6,-110.50
Yosemite *,37.83,-119.50
Zion,37.3,-113.05
